seed_case,a_1_over_Teff_global_from_Shor,b_global_Shor,r2_global_Shor,mean_jump,mean_Lambda_w
20261000,0.7082379554697104,0.0020657552224211716,0.29894863989961284,0.003984375000000001,-0.024271590678564492
20261001,0.6429369265238234,0.0021606257086886254,0.23683799197940125,0.003963068181818182,-0.024271590678564492
20261002,0.6593854700061097,0.0021047569315605142,0.2507842142855772,0.0040014204545454546,-0.024271590678564492
20261003,0.6159108635363435,0.0021729007564385136,0.23676196963742713,0.00392471590909091,-0.024271590678564492
20261004,0.6025655151490779,0.002178899141824936,0.22647724195166663,0.003953125,-0.024271590678564492
20261005,0.6824413571065664,0.002115667279207197,0.25275419661359,0.003943181818181819,-0.024271590678564492
20261006,0.635240105423157,0.0021542990024344126,0.2612698678862815,0.004005681818181819,-0.024271590678564492
20261007,0.683897045027185,0.0020875850782105044,0.2836760366608556,0.003948863636363637,-0.024271590678564492
20261008,0.5963985952099725,0.002180905524473767,0.1900904865428661,0.003910511363636363,-0.024271590678564492
20261009,0.6151356451747091,0.002187114912402089,0.22508813401766858,0.003936079545454546,-0.024271590678564492
