phi,sin_phi,comm_norm_fro,source_spread,source_std,fs_omega_mean_abs,fs_ricci_mean_abs,fs_ricci_finite_frac,fs_det_mean,resp_det_mean,resp_ricci_mean_abs,resp_ricci_finite_frac
0.12,0.11971220728891936,0.11173709390554197,0.13515695489901997,0.04738014281773311,0.011200140990809945,,0.0,4.7147679570752855e-05,0.03141250350217727,,0.0
0.17836651361645403,0.17742224001455126,0.16560253914282727,0.20066455402494965,0.0702998297049577,0.016599427477539418,,0.0,0.00010356179333993149,0.0681666482232991,,0.0
0.23673302723290807,0.23452802884840265,0.2189039946416661,0.2658964196580835,0.09307194980230041,0.021942181577687965,1023.0363703940636,0.84,0.00018095598558721504,0.11710268481794789,1.8807769392657303,0.84
0.2950995408493621,0.290835089581023,0.27145993254565465,0.3307550210285599,0.11564764022054456,0.027210207564888424,465.65919012520914,0.84,0.0002782768336692864,0.17617174759719487,0.7665028975928937,0.84
0.35346605446581614,0.346151658217611,0.3230913639949259,0.39513685345322525,0.13797754829478637,0.03238556421303858,256.23330283156054,0.84,0.00039419969058037877,0.24289653821482943,0.3695540655644534,0.84
0.41183256808227015,0.40028934406537536,0.3736224487054515,0.4589311931221325,0.16001170677279036,0.03745062589842025,160.59786778112883,0.84,0.0005271467148987839,0.3144721196271434,0.1990253482325385,0.84
0.47019908169872415,0.4530637713324989,0.42288109382529293,0.5220189968323138,0.18169940897442816,0.04238814262697239,110.48207461313926,0.84,0.0006753083469957781,0.38788007941826985,0.11552986519831138,0.84
0.5285655953151782,0.5042952070536233,0.47069954002828823,0.5843368440430015,0.20298908630782186,0.04718129878232589,81.34195826817171,0.84,0.0008366679391930325,0.4600115800003197,0.07040533667766671,0.84
0.5869321089316322,0.5538091732033378,0.5169149328491218,0.6460898630193134,0.22382819155413178,0.05181377039445836,62.94220424178434,0.84,0.0010090292046225184,0.5277945597779933,0.04397844058855534,0.84
0.6452986225480862,0.6014370409130108,0.5613698773139963,0.7068475414207798,0.2441630923315875,0.05626978073392614,50.51299743610756,0.84,0.0011900461111778173,0.5883202837045485,0.027355390117408892,0.84
0.7036651361645403,0.6470166047672458,0.6039129739780048,0.766453588337529,0.2639389800518291,0.06053415404244914,41.63165070220697,0.84,0.0013772548136708972,0.6389645436235568,0.01612871251702403,0.84
0.7620316497809944,0.6903926352240942,0.644399334543634,0.8247385438993188,0.28309980042324717,0.06459236721669692,34.98080985820466,0.84,0.001568107189555347,0.6774990508430703,0.00791876822768867,0.84
0.8203981633974483,0.7314174072776546,0.6826910753043643,0.8817334787677157,0.3015882120797773,0.06843059926939885,29.80398329114768,0.84,0.0017600055217617976,0.7021889150038066,0.0018451537087626668,0.84
0.8787646770139024,0.7699512035626008,0.7186577867328537,0.9378020618200102,0.3193455801735341,0.07203577839921584,25.647342771367,0.84,0.00195033785657011,0.7118725354060663,0.004680455544192003,0.84
0.9371311906303564,0.8058627901872273,0.7521769776144366,0.9921055299650586,0.33631201173341774,0.07539562650918467,22.229011755971957,0.84,0.002136513555259377,0.7060207199581374,0.010875989516002452,0.84
0.9954977042468104,0.8390298636744706,0.7831344922133603,1.0444177802413248,0.35242643924249617,0.07849870102198961,19.36912055905708,0.84,0.0023159985556354076,0.6847723778456356,0.018210366670421592,0.84
1.0538642178632645,0.8693394674887736,0.8114248990510264,1.0955697245688152,0.36762675822391866,0.08133443384976762,16.950547039141043,0.84,0.00248634986348789,0.6489447006410267,0.02802228098439306,0.84
1.1122307314797184,0.8966883767302273,0.8369518499721738,1.1446149326371782,0.3818500236637109,0.08389316738568807,14.895943609779172,0.84,0.002645248804511645,0.6000163600114367,0.042617533052858855,0.84
1.1705972450961726,0.9209834496858502,0.8596284082761463,1.1911424423294812,0.39503270886923025,0.0861661873946517,13.153794423393103,0.84,0.002790532584088463,0.5400829260205005,0.06651645104986811,0.84
1.2289637587126268,0.9421419450407282,0.8793773447957289,1.236303751432921,0.40711102890720124,0.08814575269125054,11.689678457679399,0.84,0.0029202237253734566,0.47178447361622794,0.10965683439492055,0.84
1.2873302723290805,0.9600918036686974,0.8961314009152025,1.2783739973151542,0.41802132913800766,0.08982512150375985,10.480642301009677,0.84,0.0030325569849944996,0.39820622470983663,0.19688722543668616,0.84
1.3456967859455347,0.9747718940428798,0.9098335176318632,1.3184031064425978,0.42770053762293636,0.09119857443452067,9.511494604463838,0.84,0.003126003380016647,0.322754094398077,0.40179187863784355,0.84
1.4040632995619888,0.9861322204302787,0.9204370298808925,1.3552551272598024,0.4360866783914521,0.09226143393834593,8.772328314145199,0.84,0.003199290999129337,0.24900818597713706,1.0042717320064125,0.84
1.4624298131784426,0.9941340931613937,0.9279058254617719,1.3895195354813719,0.4431194407795619,0.09301008025277575,,0.0,0.0032514223148029184,0.18055860359461107,,0.0
1.5207963267948965,0.9987502603949663,0.9322144680249863,1.420103575018855,0.4487407983482509,0.09344196372584809,,0.0,0.0032816877607659885,0.12082938758444817,,0.0
