split_id,n_train,n_test,train_r2,test_r2,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
0,33,15,0.5491589082059127,0.5770166920687023,2.6414749556717267,7.561045669814125,-10.282046487277427,15.276005355584632
1,33,15,0.5372075215700605,0.5457641332099084,2.2205259467843916,5.435744592904625,-8.254696212514148,8.670332078100591
2,33,15,0.5214607174462138,0.5404220085980654,1.9388299191815288,5.065879354400425,-7.496221513199506,14.340286776694844
3,33,15,0.554198947225265,0.3776896855433862,2.8782658631828544,7.66547232714354,-10.617204494560145,4.97109270523693
4,33,15,0.5994253463519301,0.4581333876647665,1.9931663371512112,3.5312006993425102,-6.298782391735699,16.198825165078137
5,33,15,0.6239695362543392,0.37629233889458513,3.0722795803148895,8.20906114366256,-11.425444418903792,12.642465681529014
6,33,15,0.6165481511914848,0.36521469113924165,1.9709399797470988,2.7266772812038695,-5.622248240039674,13.115802359679705
7,33,15,0.6280821965691341,0.1940222770154686,3.3689079984717436,9.470374051589037,-12.852695523322579,9.486996876307224
8,33,15,0.5854372444930773,0.45108307861307917,2.825194163107075,7.284600974635167,-10.666565617359293,7.836098459034768
9,33,15,0.5535962140289427,0.5274149069456415,1.9894709202122858,6.9253102879098964,-8.902326655198161,16.355312619897774
