case_id,case_seed,n_sites,t_hop,mass,omega_gauge,theta_base,theta_step,gamma_matter,gamma_gauge,comm_QH_fro,max_abs_continuity_residual,max_total_charge_drift,pass_case
0,722474465,3,0.7752434754516422,0.07740896611616065,0.7222883001256527,0.41093385041271174,0.057171856193007145,0.020526780528302938,0.09628504647731193,0.0,6.862999751833243e-17,8.881784197001252e-16,True
1,1386625361,3,0.956861537822142,0.13510449018254075,0.30917280259817675,0.5172472324091513,0.16053328318733812,0.06838341133727498,0.09935988509639854,0.0,9.091035216290955e-17,6.661338147750939e-16,True
2,1523323871,3,0.7915673150040687,0.29276165583312513,0.27685497941158144,0.6644032193873894,0.3178589629853363,0.02306704849740784,0.03551909540928438,0.0,7.174707876422826e-17,8.881784197001252e-16,True
3,568904419,4,0.5652678314510657,0.2701292931571033,0.2171253705322586,0.6621717919609699,0.21800846918625988,0.08054831087037277,0.08918185075036228,0.0,4.4885969940899884e-17,8.881784197001252e-16,True
4,1566635868,3,0.7369587990465305,0.20442709856240066,0.18743393584217535,0.23469256463987018,0.18608458268744033,0.06007143029033107,0.07312635946609926,0.0,5.919743861770854e-17,6.661338147750939e-16,True
5,437824453,3,0.8000710931380719,0.2907899933427337,0.2572477217124583,0.5961901702974916,0.17832999173023,0.048233555986640954,0.05452748195359706,0.0,8.315830662963819e-17,6.661338147750939e-16,True
6,367039119,4,0.6754197088299878,0.24820019894039566,0.4434586693490304,0.7315103433052597,0.23729869235393972,0.06626358458317601,0.03131633259402512,0.0,5.893994060174323e-17,1.3322676295501878e-15,True
7,1846994462,3,0.562198485175981,0.08245626260638615,0.6044529705090853,0.3472118048781049,0.26830284278574584,0.046527884251370034,0.07609110457107655,0.0,5.822165666247159e-17,8.881784197001252e-16,True
8,323722926,4,0.5167567119362528,0.12513363777446404,0.5308950707132809,0.4826358064364955,0.22953069620248498,0.05481211419428447,0.06867850065966226,0.0,4.5102810375396984e-17,1.3322676295501878e-15,True
9,830133892,4,1.0105697430018432,0.06487867200072643,0.4422386987761796,0.45426714849643535,0.22439808707560466,0.05505881344619552,0.05527585525277169,0.0,7.137438426743636e-17,1.3322676295501878e-15,True
